state_code,city,lat,lon,price_per_gallon,name,address,opis_id
TN,Jackson,32.2988,-90.1848,3.4973,LOVES TRAVEL STOP #244,"I-40, EXIT 87 & US-70/US-412",63724
GA,Cartersville,32.611207,-82.063662,3.599,TA CARTERSVILLE TRAVEL CENTER,"I-75, EXIT 296",63725
OK,Tulsa,34.441813,-97.06127,3.3657,FLYING J TRAVEL PLAZA #706,"I-44 & I-244, EXIT 236",63726
NY,Binghamton,42.0987,-75.918,3.709,LOVES TRAVEL STOP #403,"I-81, EXIT 3",63727
IA,Walcott,41.535068,-93.025232,3.8723,PILOT TRAVEL CENTERS #43,"I-80, EXIT 284",63728
NV,West Wendover,38.484103,-115.687727,3.709,PILOT TRAVEL CENTERS #147,"I-80, EXIT 410",63729
OH,Caldwell,43.6629,-116.6874,3.6523,PILOT TRAVEL CENTERS #309,"I-77, EXIT 25",63730
LA,Iowa,30.917019,-90.12957,3.5873,LOVES TRAVEL STOP #243,"I-10, EXIT 43 & SR-383",63731
AZ,Eloy,32.7837,-111.5548,3.434,LOVES TRAVEL STOP #265,"I-10, EXIT 200",63732
NC,Kinston,36.56536,-80.079948,3.319,CIRCLE K #2723472,US-70 & SR-58,63734
TX,Van Horn,31.0391,-104.8307,3.099,PLATEAU TRUCK AND AUTO CENTER,"I-10, EXIT 159",63736
LA,Duson,30.231,-92.179,3.4107,I 10 DUSON TRUCK STOP,"I-10, AUSTRIA ROAD",63737
NE,Beatrice,40.848899,-99.953376,3.399,U STOP 33,US-77,63738
VA,Blairs,36.481102,-76.872909,3.439,CIRCLE K #2723478,US-29,63740
VA,Chester,37.069337,-78.072909,3.2023,SHELL,"I-295, EXIT 15",63741
PA,Pittston,41.302517,-78.736226,4.1757,PILOT TRAVEL CENTERS #370,"I-81, EXIT 175",63743
KY,Oak Grove,37.391669,-86.478891,3.1523,PILOT TRAVEL CENTERS #439,"I-24, EXIT 86",63744
IN,Haubstadt,41.031779,-84.643572,3.959,PILOT TRAVEL CENTER #447,"I-64, EXIT 25",63745
SC,Gaffney,34.156892,-79.383242,3.429,PILOT TRAVEL CENTERS #453,"I-85, EXIT 90",63746
KY,Pendleton,45.6721,-118.7886,3.759,PILOT TRAVEL CENTERS #440,"I-71, EXIT 28",63747
